# Timepoint	 Detector Signal	 Error
0.000	11.308055	0.672549
0.010	11.084948	0.665881
0.020	11.407546	0.675501
0.030	10.899267	0.660281
0.040	10.734420	0.655268
0.050	10.928521	0.661166
0.060	10.639952	0.652379
0.070	10.969909	0.662417
0.080	10.748808	0.655707
0.090	10.815463	0.657737
0.100	10.721671	0.654879
0.110	10.318604	0.642452
0.120	10.218031	0.639313
0.130	10.626192	0.651957
0.140	10.284042	0.641375
0.150	10.350101	0.643431
0.160	9.861720	0.628068
0.170	10.216501	0.639265
0.180	10.104062	0.635738
0.190	10.031304	0.633445
0.200	9.556881	0.618284
0.210	9.897486	0.629205
0.220	10.455578	0.646702
0.230	9.431347	0.614210
0.240	9.676995	0.622157
0.250	10.144597	0.637012
0.260	9.571690	0.618763
0.270	9.182884	0.606065
0.280	9.697703	0.622823
0.290	9.297267	0.609828
0.300	9.826153	0.626934
0.310	9.148357	0.604925
0.320	9.304047	0.610051
0.330	9.253949	0.608406
0.340	9.245314	0.608122
0.350	9.438075	0.614429
0.360	8.677638	0.589157
0.370	8.868265	0.595593
0.380	8.849031	0.594946
0.390	9.131909	0.604381
0.400	8.751522	0.591659
0.410	10.236189	0.639881
0.420	8.914876	0.597156
0.430	9.329750	0.610893
0.440	9.015276	0.600509
0.450	8.979532	0.599317
0.460	8.780512	0.592639
0.470	9.921423	0.629966
0.480	9.058647	0.601952
0.490	9.127447	0.604233
0.501	9.441317	0.614535
0.511	9.270986	0.608966
0.521	9.346715	0.611448
0.531	9.406167	0.613390
0.541	8.664946	0.588726
0.551	9.213609	0.607079
0.561	9.266661	0.608824
0.571	8.554151	0.584950
0.581	9.136713	0.604540
0.591	9.634241	0.620781
0.601	8.946863	0.598226
0.611	8.661512	0.588609
0.621	9.014641	0.600488
0.631	8.886359	0.596200
0.641	9.083324	0.602771
0.651	9.306403	0.610128
0.661	8.599302	0.586491
0.671	8.990996	0.599700
0.681	8.567600	0.585409
0.691	8.730105	0.590935
0.701	8.554902	0.584975
0.711	8.856333	0.595192
0.721	8.764918	0.592112
0.731	8.467598	0.581983
0.741	9.108429	0.603603
0.751	8.585169	0.586009
0.761	8.500324	0.583106
0.771	8.189155	0.572334
0.781	8.498670	0.583050
0.791	8.264662	0.574966
